indicateur_id,nom_indicateur,theme,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,unite
193,Total de médecins,health,health_sante_25_consultations_medicales_specialisees_realise,long,valeur,Total de médecins,territoire_id,
194,Bacté-riologie,health,health_sante_26_activites_des_laboratoires_des_hopitaux_publ,long,valeur,Bacté-riologie,territoire_id,
195,Chimie et biologie (Biochimie),health,health_sante_26_activites_des_laboratoires_des_hopitaux_publ,long,valeur,Chimie et biologie (Biochimie),territoire_id,
196,Hygiène,health,health_sante_26_activites_des_laboratoires_des_hopitaux_publ,long,valeur,Hygiène,territoire_id,
197,Hématologie et transfusion,health,health_sante_26_activites_des_laboratoires_des_hopitaux_publ,long,valeur,Hématologie et transfusion,territoire_id,
198,Immuno-sérologie,health,health_sante_26_activites_des_laboratoires_des_hopitaux_publ,long,valeur,Immuno-sérologie,territoire_id,
199,Para-sitologie,health,health_sante_26_activites_des_laboratoires_des_hopitaux_publ,long,valeur,Para-sitologie,territoire_id,
200,Total,health,health_sante_26_activites_des_laboratoires_des_hopitaux_publ,long,valeur,Total,territoire_id,
201,Coque- luche,health,health_sante_27_maladies_sous_surveillance_dans_les_formatio,long,valeur,Coque- luche,territoire_id,
202,Covid-19,health,health_sante_27_maladies_sous_surveillance_dans_les_formatio,long,valeur,Covid-19,territoire_id,
203,Leishmaniose cutanée,health,health_sante_27_maladies_sous_surveillance_dans_les_formatio,long,valeur,Leishmaniose cutanée,territoire_id,
204,Méningite,health,health_sante_27_maladies_sous_surveillance_dans_les_formatio,long,valeur,Méningite,territoire_id,
205,Rougeole,health,health_sante_27_maladies_sous_surveillance_dans_les_formatio,long,valeur,Rougeole,territoire_id,
206,Toxi-infection collective,health,health_sante_27_maladies_sous_surveillance_dans_les_formatio,long,valeur,Toxi-infection collective,territoire_id,
